Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,FeatureTID,FeaturePNGURL
229,2126000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,193,772,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
230,2137000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,193,772,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
231,2148000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,194,776,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
232,2159000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,194,776,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
233,2170000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,195,780,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
234,2181000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,195,780,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
235,2192000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,196,784,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
236,2203000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,196,784,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
237,2214000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,197,788,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
238,2225000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,197,788,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
239,2236000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,198,792,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
240,2247000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,198,792,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
241,2258000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,199,796,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
242,2269000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,199,796,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
243,2280000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,200,800,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
244,2291000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,200,800,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
245,2302000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,201,804,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
246,2313000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,201,804,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
247,2324000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,202,808,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
248,2335000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,202,808,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
249,2346000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,203,812,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
250,2357000,FreeDiamonds,50,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,203,812,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
251,2368000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,204,816,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
252,2379000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,204,816,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
253,2390000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,205,820,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
254,2401000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,205,820,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
255,2412000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,206,824,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
256,2423000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,206,824,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
257,2434000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,207,828,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
258,2445000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,207,828,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
259,2456000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,208,832,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
260,2467000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,208,832,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
261,2478000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,209,836,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
262,2489000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,209,836,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
263,2500000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,210,840,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
264,2511000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,210,840,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
265,2522000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,211,844,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
266,2533000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,211,844,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
267,2544000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,212,848,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
268,2555000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,212,848,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
269,2566000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,213,852,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
270,2577000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,213,852,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
271,2588000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,214,856,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
272,2599000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,214,856,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
273,2610000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,215,860,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
274,2621000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,215,860,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
275,2632000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,216,864,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
276,2643000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,216,864,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
277,2654000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,217,868,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
278,2665000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,217,868,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
279,2676000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,218,872,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
280,2687000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,218,872,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
281,2698000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,219,876,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
282,2709000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,219,876,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
283,2720000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,220,880,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
284,2731000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,220,880,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
285,2742000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,221,884,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
286,2753000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,221,884,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
287,2764000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,222,888,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
288,2775000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,222,888,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
289,2786000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,223,892,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
290,2797000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,223,892,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
291,2808000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,224,896,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
292,2819000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,224,896,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
293,2830000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,225,900,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,79,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
294,2841000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,225,900,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
295,2852000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,226,904,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
296,2863000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,226,904,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
297,2874000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,227,908,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
298,2885000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,227,908,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
299,2896000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,228,912,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
300,2907000,FreeDiamonds,200,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,228,912,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,80,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
301,2918000,FreeDiamonds,20,,,,,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,229,916,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
302,2929000,FreeDiamonds,20,,,,,RewardSetML11,RewardSetML12,RewardSetML11,RewardSetML12,RewardSetML11,229,916,200,200,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,5,1,1,1,6,30,3,5,9,50,78,231,463,46962,145,6,12,846,946,3,3,720,1080,240,1000,10,3,,
