Name,IntValue,StringValue,BooleanValue
RoadsideShopHUDHeight,420,,
PetAnimationIndexInLogic,,,TRUE
FarmPassTaskLinkTooltips,,,TRUE
DerbyTaskLinkTooltips,,,TRUE
OnlyActiveBirthdayTaskTooltipHasLink,,,FALSE
SiloHUDFloaterTextsOnTopOfHUD,,,TRUE
SiloSearchBar,,,TRUE
RSSSearchBar,,,TRUE
NHRequestSearchBar,,,TRUE
TomSearchBar,,,TRUE
ShopSectorLeftSpace,14,,
ShopSectorRightSpace,24,,
ModalChecksSmallScreen,,,TRUE
FarmPassHatsOnAllGregsAnimal,,,FALSE
FarmPassHatsOnSomeGregsAnimal,,,TRUE
EndMoveModeCrashFix2023,,,TRUE
FarmPassHelpButtonHitAreaFix,,,TRUE
FreeBoosterActivationSlot,,,TRUE
TimeCutDoneTooltip,,,TRUE
TimeCutStartedWithDelay,,,TRUE
FailPopupNoSlideSupportWhenOnlyOneIcon,,,TRUE
InventoryVisibleDurationMS,3000,,
InventoryFadeInDurationMS,200,,
InventoryFadeOutDurationMS,500,,
BuildingConstructionFloaterTextsOnTopOfHUD,,,TRUE
BlockTooltipIfNotTopMenu,,,TRUE
DontAddSCIDPackagesToBilling,,,TRUE
HelpCarOrderAvailableEvenWithoutCar,,,TRUE
ChatStreamReportButton,,,TRUE
AttributionMessageYoungPlayerCheck,,,FALSE
TimeUtilUnbreakableSpace,,,TRUE
SmallScreenHidesTooltips,,,TRUE
FilterOffersWithLockedItems,,,TRUE
ServerChecksCoinsInNHCreate,,,TRUE
BirthdayTasksIgnorePendingProducts,,,TRUE
FarmPassTasksIgnorePendingProducts,,,TRUE
BirthdayTasksCanBeRefreshed,,,TRUE
HideCustomEventUIUntilDownloadComplete,,,TRUE
EnableClientTimeSpentRSS,,,TRUE
EnableClientTimeSpentNewspaper,,,TRUE
EnableClientTimeSpentValley,,,TRUE
ChronosEventProgressedDerby,,,TRUE
ChronosEventProgressedFarmPass,,,TRUE
ChronosEventProgressedBirthday,,,TRUE
ChronosEventParticipateBirthday,,,TRUE
ChronosEventParticipateFarmPass,,,TRUE
ChronosEventParticipateShopOffers,,,TRUE
ChronosEventParticipateCalendarGifts,,,TRUE
ChronosEventBirthdayTask,,,TRUE
ChronosEventBirthdayTaskForActions,,select;collect;discard;speedUp;renew;failed,
ChronosEventBirthdayReward,,,TRUE
ChronosEventBirthdayShowTaskTooltipWhenAnotherTaskHasExpired,,,FALSE
InventoryNegativeItemsCheckInClient,,,TRUE
ResourceGainedEventForGlobalIDs,,1900000;1900003;27100000;27100001;27100002;27100003;27100004;27100005;1900212,
ResourceSpentEventForGlobalIDs,,1900212,
ResourceGainedEventDisabledForTags,,5;9;104;105;115;118,
ShowBuyDiamondsScrollsToDiamonds,,,TRUE
GiftRollRandomSeedFix,,,TRUE
ShowReEngagementFlowEvenIfTimeIsOut,,,TRUE
BirthdayTasksAvoidDuplicateCurrentTasks,,,TRUE
VideoAdAvailableCheckTime,750,,
DiamondsAddedCommandWithoutServerTrip,,,TRUE
IgnoreEmptyExpansionAreas,,,TRUE
PersonalTrainMaintenanceTimerAccurate,,,TRUE
BuilderFloatFix,,,TRUE
InterpolateMovieClipsTo60fps,,,TRUE
ShopFilterIncludesExportNameAndTID,,,FALSE
RoadsideShopPurchaseSSEForAllItems,,,TRUE
SanctuaryAnimalPathfindFix,,,TRUE
SendAttributionMessageBeforeGameMode,,,TRUE
TermsOfServiceBeforeGameMode,,,TRUE
EventDownloadSha1Checks,,,TRUE
EventLeaderboardPlayerVisitEnabled,,,TRUE
EventDownloadQueueUpdateIntervalMS,1000,,
BirthdayTasksSelectRenewedTask,,,TRUE
BirthdayTasksCantStartTaskIfAnotherTaskIsFailed,,,TRUE
EventLeaderboardRefreshFrequency,300,,
EventLeaderboardEndNotice,,,TRUE
EventLeaderboardRankUpNotice,,,TRUE
EventLeaderboardRankDownNotice,,,TRUE
EventLeaderboardBoundsWidth,960,,
EventLeaderboardBoundsHeight,540,,
EventBoardShowOnlyActiveEvents,,,FALSE
BoosterUIStacking,,,TRUE
HeavierFishBoosterGameModeFix,,,TRUE
ReleaseGameAssetsBetweenModes,,,TRUE
TextWhenTryingToHelpWithLockedBoatCrate,,,TRUE
TutorialConfirmButtonAppearTimeMS,3000,,
TutorialAnimationNeedsToComplete,,,TRUE
BoosterHUDTopPanelMinMargin,20,,
BoosterHUDTopPanelMinMarginMobile,15,,
TaskEventLeaderboardScrollDurationMS,1000,,
BoostersHUDOverlayStreamsHUD,,,TRUE
ExpiredSeasonalGoodsBoatOrderFix,,,TRUE
IdleNoticeForClaimableTaskEventRewards,,,FALSE
NewspaperRefreshIfNoResponseYet,,,TRUE
NewspaperWaitThingy,,,TRUE
UpdatePrevKnownEventLeaderboardRanksWhenRankingUp,,,TRUE
FirebaseSDK,,,TRUE
NewTermsOfServiceText,,,TRUE
CloseMapGameHUDWhenEventOver,,,TRUE
ResetMapGameQuestsWhenEventOver,,,TRUE
SpellFactoryVoucherPopupImageURL,,https://game-assets.haydaygame.com/static/spellfactory/sf_rewards_claim_web_8x8.ktx,
ShowTaskEventInValley,,,FALSE
ShowSeasonalCurrencyInValley,,,FALSE
DefaultDownscaleIfCompressedFormatNotSupported,,,TRUE
EditModeMoveDelayFix,,,TRUE
EditModeTempObjectCoordinateBeforeAddingToTiles,,,TRUE
SpaceInFarmPassNumbers,,,FALSE
FasterBoatBoosterFix,,,TRUE
ShopMenuButtonDuplicationFix,,,FALSE
DerbyBuyExtraTaskOutOfSyncFix,,,TRUE
DerbySpeedUpTaskOutOfSyncFix,,,TRUE
BoostersFromGiftsSkipPendingSlots,,,TRUE
BoostersFromGiftsUseStorageSpace,,,FALSE
AttributionMessageATTCheck,,,TRUE
CleanupLogicPendingPurchasesOlderThanSeconds,300,,
ProcessingBuildingsBoosterTimerFix,,,TRUE
BoatCrateRewardsAnimationFix,,,TRUE
DataGainedBoostTextOnlyWhenXP,,,TRUE
CatalogueSpeedUpDiamondSpendOverUI,,,TRUE
ShowCollectedProcessingBuildingGoodsBoosted,,,TRUE
MaxTooltipTextFieldHeightTablet,600,,
MaxTooltipTextFieldHeightMobile,200,,
SeparateSeasonalCatalogue,,,TRUE
InstantSeasonalCatalogueGiftDelivery,,,TRUE
ShowCountyFairInValley,,,FALSE
CountyFairStreakAnimationDelayMS,125,,
CountyFairStreakScrollDurationMS,300,,
CountyFairStreakInitialScrollWaitDurationMS,1000,,
CountyFairStreakInitialScrollDurationMS,1000,,
CountyFairDailyStreakAchievedNotification,,,TRUE
CountyFairEventStreakAchievedNotification,,,TRUE
CountyFairEventEndedNotification,,,TRUE
CountyFairBonusRoundDiamondContinuePrices,,5,
,,10;15,
,,30;60;90,
,,,
,,,
,,,
,,,
,,,
YarnTrackPointsPerSegment,10,,
BlockEmojisNeighborhoodName,,,FALSE
BlockEmojisNeighborhoodDescription,,,FALSE
BlockEmojisNeighborhoodExtraInfo,,,FALSE
BlockEmojisNeighborhoodSearch,,,FALSE
BlockEmojisPlayerName,,,FALSE
BlockEmojisPetName,,,FALSE
BlockEmojisEditModeLayoutName,,,FALSE
FieldHudTestVersion,,,TRUE
FieldHudMaxPageIndicators,4,,
DailyTasksPatchDiamondPrice,6,,
DailyTasksStreakEnabled,,,FALSE
DailyTasksCloseByModalTap,,,FALSE
DailyTasksBetaVisible,,,TRUE
DailyTasksSinglePatchDiamondPrice,4,,
DailyTasksMaxPatchCount,15,,
DailyTasksMaxMissDays,15,,
DailyTasksBoxGivePatchesIfUnder,2,,
DailyTasksMinStreakFixDays,0,,
DailyTasksPatchesAtStart,2,,
EventLeaderboardClientSideScoreFix,,,TRUE
IgnoreEventLeaderboardListMessageIfScoreHasChanged,,,TRUE
GiftConfirmationDoubleTapDiamondConfirmation,,,TRUE
SavePetsToAvatarData,,,TRUE
SaveProcessingBuildingsToAvatarData,,,TRUE
SaveAnimalsToAvatarData,,,TRUE
AddResourcesVisuallyDiamondAddedCommand,,,TRUE
AddResourcesVisuallyDeliverGoodsCommand,,,TRUE
AddResourcesVisuallyBuyGoodsWithDiamondsCommand,,,TRUE
AddResourcesVisuallySpinWheel,,,TRUE
RequestRecommendedNeighborhoodsWithEmptyInputInSearchGUI,,,FALSE
UseUsercentrics,,,TRUE
UsercentricsIOSKey,,Jah5xrYlpLDtJo,
UsercentricsAndroidKey,,dc3QBDq1t3Dtdk,
VoucherUIAnalyticsEvent,,,TRUE
UseAppsflyerAttribution,,,TRUE
AppsflyerAttributionIOSKey,,506627515,
ConsentKeysForAds,,9dchbL797,
,,hpb62D82I,
ConsentKeyForFirebase,,42vRvlulK96R-F,
AllowAppsflyerAttributionForYoungPlayers,,,FALSE
AllowFirebaseForYoungPlayers,,,FALSE
ConsentKeyForAppsflyer,,Gx9iMF__f,
UseCurrencyForShopOfferDiscountCalculation,,,TRUE
AppsflyerAttributionAndroidKey,,com.supercell.hayday,
LoadGameObjectAvatarDataOutsideOfHome,,,TRUE
